Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"D Horváth, J Gazda, E Šlapak, T Maksymyuk, ...","Evolutionary coverage optimization for a self-organizing UAV-based wireless communication system",2021,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9583254/","https://scholar.google.com/scholar?cites=4380354920965818438&as_sdt=2005&sciodt=2007&hl=en",16,"2025-09-15 17:37:58","","","","",,,,,12,3.00,2,5,4,"… Notably, the application of evolution-based path planning for the UAV swarm trajectory, specially addressing the uncertainties in the dynamic environment, was proposed in [16]. A …","https://ieeexplore.ieee.org/iel7/6287639/6514899/09583254.pdf","https://scholar.google.com/scholar?q=related:RkhNrpclyjwJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
0,"K Karam, A Mansour, M Khaldi, B Clement, ...","UAV Path Optimization for WSN in Smart Agriculture",2025,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11003879/","",37,"2025-09-15 17:37:58","","","","",,,,,0,0.00,0,5,1,"… communication ranges, the UAV dynamically adjusts its altitude to maintain connectivity … ’s dynamic flight characteristics, which are critical for realistic and efficient path planning. After …","https://ieeexplore.ieee.org/iel8/6287639/6514899/11003879.pdf","https://scholar.google.com/scholar?q=related:IrKHs7ltkJwJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
68,"S Iranmanesh, R Raad, MS Raheel, F Tubbal, ...","Novel DTN mobility-driven routing in autonomous drone logistics networks",2019,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8932497/","https://scholar.google.com/scholar?cites=1295964603362048938&as_sdt=2005&sciodt=2007&hl=en",41,"2025-09-15 17:37:58","","","","",,,,,68,11.33,14,5,6,"… Amazon has an issued patent that describes how … path planning in data communication, we explore the following hypothesis. Suppose that in a drone logistics network, every drone has …","https://ieeexplore.ieee.org/iel7/6287639/8948470/08932497.pdf","https://scholar.google.com/scholar?q=related:qvvfwPAw_BEJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
30,"RA Saeed, ES Ali, M Abdelhaq, R Alsaqour, ...","Energy efficient path planning scheme for unmanned aerial vehicle using hybrid generic algorithm-based Q-learning optimization",2023,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10365503/","https://scholar.google.com/scholar?cites=3871285749040808502&as_sdt=2005&sciodt=2007&hl=en",83,"2025-09-15 17:37:58","","","","",,,,,30,15.00,6,5,2,"… to solve a UAV path planning energy efficiency challenge. … on acceleration, communication cost, and Radius of UAV for … He is successfully awarded three US patents in these areas. …","https://ieeexplore.ieee.org/iel7/6287639/6514899/10365503.pdf","https://scholar.google.com/scholar?q=related:NgKct-CRuTUJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
92,"A Mardani, M Chiaberge, P Giaccone","Communication-aware UAV path planning",2019,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8691430/","https://scholar.google.com/scholar?cites=2925642981811158815&as_sdt=2005&sciodt=2007&hl=en",1,"2025-09-15 17:37:58","","","","",,,,,92,15.33,31,3,6,"… in order to maximize the communication quality, given a … path planning algorithms and we show that our algorithms outperform classical approaches that are oblivious of communication …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08691430.pdf","https://scholar.google.com/scholar?q=related:H_93jsr4mSgJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
99,"J Park, H Lee, S Eom, I Lee","UAV-aided wireless powered communication networks: Trajectory optimization and resource allocation for minimum throughput maximization",2019,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8836548/","https://scholar.google.com/scholar?cites=5321957550863133898&as_sdt=2005&sciodt=2007&hl=en",8,"2025-09-15 17:37:58","","","","",,,,,99,16.50,25,4,6,"… In this work, a UAV network is considered where the UAVs support the uplink communication of the GTs for a pre-determined time period T [15], [38]. The time period T is regarded as a …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08836548.pdf","https://scholar.google.com/scholar?q=related:yqznEDJk20kJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
33,"YJ Chen, DY Huang","Trajectory optimization for cellular-enabled UAV with connectivity outage constraint",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8984324/","https://scholar.google.com/scholar?cites=12496162272174255891&as_sdt=2005&sciodt=2007&hl=en",10,"2025-09-15 17:37:58","","","","",,,,,33,6.60,17,2,5,"… and path planning,’’ IEEE Trans. Veh. Technol., vol. … Shu, ‘‘User association and path planning for UAV-aided mobile … He holds four US patents and four ROC patents. His research …","https://ieeexplore.ieee.org/iel7/6287639/8948470/08984324.pdf","https://scholar.google.com/scholar?q=related:E6-VCGFJa60J:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
95,"J Xie, LRG Carrillo, L Jin","Path planning for UAV to cover multiple separated convex polygonal regions",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9032151/","https://scholar.google.com/scholar?cites=1727962820605636020&as_sdt=2005&sciodt=2007&hl=en",18,"2025-09-15 17:37:58","","","","",,,,,95,19.00,32,3,5,"… path for the UAV to quickly cover all regions. The new path planning problem explored here, … salesman problem (TSP) and the coverage path planning (CPP) problem, which has not …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09032151.pdf","https://scholar.google.com/scholar?q=related:tO1Huwf1-hcJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
345,"H Qie, D Shi, T Shen, X Xu, Y Li, L Wang","Joint optimization of multi-UAV target assignment and path planning based on multi-agent reinforcement learning",2019,"IEEE access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8846699/","https://scholar.google.com/scholar?cites=16815955058607309130&as_sdt=2005&sciodt=2007&hl=en",63,"2025-09-15 17:37:58","","","","",,,,,345,57.50,58,6,6,"… (UAV) collaborative control systems is the problem of multi-UAV target assignment and path planning (… in which target assignment and path planning are solved separately. However, …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08846699.pdf","https://scholar.google.com/scholar?q=related:SsE48wdGXukJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
202,"B Li, Y Wu","Path planning for UAV ground target tracking via deep reinforcement learning",2020,"IEEE access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8984371/","https://scholar.google.com/scholar?cites=1421133768042247372&as_sdt=2005&sciodt=2007&hl=en",69,"2025-09-15 17:37:58","","","","",,,,,202,40.40,101,2,5,"… dynamic planning solution for UAV trajectory planning. … path planning. How to react to the dynamic environment using incomplete information is a key issue in UAV online path planning. …","https://ieeexplore.ieee.org/iel7/6287639/6514899/08984371.pdf","https://scholar.google.com/scholar?q=related:zHR47qHhuBMJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
101,"RJ Wai, AS Prasetia","Adaptive neural network control and optimal path planning of UAV surveillance system with energy consumption prediction",2019,"Ieee Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8819962/","https://scholar.google.com/scholar?cites=15555023145878851397&as_sdt=2005&sciodt=2007&hl=en",87,"2025-09-15 17:37:58","","","","",,,,,101,16.83,51,2,6,"… connectivity issue of using the K-means algorithm for a 3-dimensional energy-efficient path planning … inertia weight to solve the UAV optimal path-planning problem is presented in this …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08819962.pdf","https://scholar.google.com/scholar?q=related:RY8WGyOL3tcJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
24,"R Lai, B Zhang, G Gong, H Yuan, J Yang, ...","Energy-efficient scheduling in UAV-assisted hierarchical wireless sensor networks",2024,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10445189/","https://scholar.google.com/scholar?cites=15317697357872053915&as_sdt=2005&sciodt=2007&hl=en",96,"2025-09-15 17:37:58","","","","",,,,,24,24.00,4,6,1,"… , and UAV path planning to minimize the weighted sum of energy consumption of WSNs and that of a UAV. … 2) This work mathematically models the communication speed and energy …","https://s2.smu.edu/~jiazhang/Papers/JiaZhang-UAV.pdf","https://scholar.google.com/scholar?q=related:mz7nIJdkk9QJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
93,"O Esrafilian, R Gangula, ...","Learning to communicate in UAV-aided wireless networks: Map-based approaches",2018,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8525324/","https://scholar.google.com/scholar?cites=16292059126720997994&as_sdt=2005&sciodt=2007&hl=en",7,"2025-09-15 17:37:58","","","","",,,,,93,13.29,31,3,7,"… yet static locations of the UAV BSs, path planning involves finding UAV trajectories. In both … design for a UAV BS that is providing communication services for a number of ground nodes …","https://arxiv.org/pdf/1806.05165","https://scholar.google.com/scholar?q=related:aqrd63QFGeIJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
52,"Y Guan, S Zou, H Peng, W Ni, Y Sun, ...","Cooperative UAV trajectory design for disaster area emergency communications: A multiagent PPO method",2023,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10268067/","https://scholar.google.com/scholar?cites=7814767237254501164&as_sdt=2005&sciodt=2007&hl=en",30,"2025-09-15 17:37:58","","","","",,,,,52,26.00,9,6,2,"… UAV trajectory for communication recovery after a disaster was studied in [17], which considered UAV multi-hop transmission and UAV … , the suboptimal path planning of the PPO …","https://scholar.google.com/scholar?output=instlink&q=info:LFPq2mWhc2wJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=2164100483816787803&oi=lle","https://scholar.google.com/scholar?q=related:LFPq2mWhc2wJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
317,"Z Yu, Z Si, X Li, D Wang, H Song","A novel hybrid particle swarm optimization algorithm for path planning of UAVs",2022,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9795684/","https://scholar.google.com/scholar?cites=7784888814638703395&as_sdt=2005&sciodt=2007&hl=en",43,"2025-09-15 17:37:58","","","","",,,,,317,105.67,63,5,3,"… UAV path planning has been proven to be an NP-hard … focus on the impact of communication variations between UAVs on the … and is the inventor of two patents. His research has been …","https://scholar.google.com/scholar?output=instlink&q=info:I6NzfCF7CWwJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=4820840138216594716&oi=lle","https://scholar.google.com/scholar?q=related:I6NzfCF7CWwJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
142,"Y Huo, X Dong, T Lu, W Xu, ...","Distributed and multilayer UAV networks for next-generation wireless communication and power transfer: A feasibility study",2019,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8703821/","https://scholar.google.com/scholar?cites=4494651663440785680&as_sdt=2005&sciodt=2007&hl=en",61,"2025-09-15 17:37:58","","","","",,,,,142,23.67,28,5,6,"… On the other hand, UAV path planning plays a crucial role in … specific application scenarios. As an example, [19] optimized … 28 granted domestic patents and 3 US patents. His current …","https://scholar.google.com/scholar?output=instlink&q=info:ELGBzN81YD4J:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=6354626133917916105&oi=lle","https://scholar.google.com/scholar?q=related:ELGBzN81YD4J:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
48,"S Hu, X Yuan, W Ni, X Wang, ...","RIS-assisted jamming rejection and path planning for UAV-borne IoT platform: A new deep reinforcement learning framework",2023,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10146001/","https://scholar.google.com/scholar?cites=16914436343062328107&as_sdt=2005&sciodt=2007&hl=en",67,"2025-09-15 17:37:58","","","","",,,,,48,24.00,10,5,2,"… communication strategy was developed between a UAV swarm and a BS to counteract jamming attempts. This improved the communication … technical papers, and five patents, all in the …","https://arxiv.org/pdf/2302.04994","https://scholar.google.com/scholar?q=related:K_MvzDwmvOoJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
